"USER_NAME","HAS_FINANCIAL_AUTH","HAS_HR_FULL_AUTH","HAS_HR_LIMITED_AUTH","HAS_PAYROLL_AUTH","WAREHOUSE_LOAD_DATE"
"VMATHES","Y","N","N","N",28-OCT-24
"TOLEDO5","N","N","N","N",28-OCT-24
"JO28775","N","N","N","N",28-OCT-24
"AL28047","N","N","N","N",28-OCT-24
"MENEGAS","N","N","N","N",28-OCT-24
"ETAMRE","Y","N","N","N",28-OCT-24
"DA28707","N","N","N","N",28-OCT-24
"JE28670","N","N","N","N",28-OCT-24
"GDEVERA","N","N","N","N",28-OCT-24
"BFITZWAL","N","N","N","N",28-OCT-24
"SU28731","N","N","N","N",28-OCT-24
"JKSULLIV","N","N","N","N",28-OCT-24
"SGRIEVE","N","N","N","N",28-OCT-24
"ARANGAM","N","N","N","N",28-OCT-24
"NANCHUNG","N","N","N","N",28-OCT-24
"SEMORRIS","Y","N","N","N",28-OCT-24
"JAMCGOLD","Y","N","N","N",28-OCT-24
"JENMCG","Y","N","N","N",28-OCT-24
"SQZHENG","Y","N","N","N",28-OCT-24
"PH26571","N","N","N","N",28-OCT-24
"LEONID","Y","N","N","N",28-OCT-24
"JO26519","N","N","N","N",28-OCT-24
"AL26435","N","N","N","N",28-OCT-24
"VHINDLEY","Y","N","N","N",28-OCT-24
"JA26573","N","N","N","N",28-OCT-24
"JCOWHAM","N","N","N","N",28-OCT-24
"RA26476","N","N","N","N",28-OCT-24
"MENDES","N","N","N","N",28-OCT-24
"MATTFENG","N","N","N","N",28-OCT-24
"SARAHMD","N","N","N","N",28-OCT-24
"DBYUN","N","N","N","N",28-OCT-24
"DRAND","Y","N","N","N",28-OCT-24
"DOUGB5","N","N","N","N",28-OCT-24
"BR27622","N","N","N","N",28-OCT-24
"JA27504","N","N","N","N",28-OCT-24
"EZIMMER","N","N","N","N",28-OCT-24
"JO27657","N","N","N","N",28-OCT-24
"TURNBULL","Y","N","N","N",28-OCT-24
"AN27944","N","N","N","N",28-OCT-24
"SILIDENG","Y","N","N","N",28-OCT-24
"JSTRAEHL","Y","N","N","N",28-OCT-24
"KBENNETT","Y","N","N","N",28-OCT-24
"HUANGYC","N","N","N","N",28-OCT-24
"NURNBERG","Y","N","N","N",28-OCT-24
"SORZALLI","Y","Y","Y","Y",28-OCT-24
"SYDCASH","N","N","N","N",28-OCT-24
"AMRYDER","N","N","N","N",28-OCT-24
"LWHU","Y","N","N","N",28-OCT-24
"BORKO","N","N","N","N",28-OCT-24
"DMC1","Y","N","N","N",28-OCT-24
"A_AUGUST","N","N","N","N",28-OCT-24
"RHELLEN","Y","Y","N","Y",28-OCT-24
"MJREISCH","N","N","N","N",28-OCT-24
"ARIANNE","N","N","N","N",28-OCT-24
"ROBERTEJ","N","N","N","N",28-OCT-24
"ADENHARD","Y","N","N","N",28-OCT-24
"HOSSAINM","N","N","N","N",28-OCT-24
"KMENLHA","N","N","N","N",28-OCT-24
"KRATEL","Y","N","N","N",28-OCT-24
"FAITHMAY","Y","Y","Y","Y",28-OCT-24
"DNINO","N","N","N","N",28-OCT-24
"AKSHINN","N","N","N","N",28-OCT-24
"DMONDAL","Y","N","N","N",28-OCT-24
"YUKUNAI","N","N","N","N",28-OCT-24
"JMONGO","N","N","N","N",28-OCT-24
"BOUXSEIN","N","N","N","N",28-OCT-24
"GOLDMANA","Y","N","N","N",28-OCT-24
"EL25998","N","N","N","N",28-OCT-24
"JI25815","N","N","N","N",28-OCT-24
"ANDYMAC","N","N","N","N",28-OCT-24
"MARYWHEE","Y","N","Y","Y",28-OCT-24
"YANMA","Y","N","N","Y",28-OCT-24
"BMARELLI","Y","N","N","N",28-OCT-24
"BR25377","N","N","N","N",28-OCT-24
"O_DANIEL","N","N","N","N",28-OCT-24
"JULIEHAN","N","N","N","N",28-OCT-24
"GUOCJ","N","N","N","N",28-OCT-24
"MI25980","N","N","N","N",28-OCT-24
"JMFEILER","N","N","N","N",28-OCT-24
"WTSTEPHE","N","N","N","N",28-OCT-24
"MHOFER","N","N","N","N",28-OCT-24
"ABAHLE","N","N","N","N",28-OCT-24
"TONYMAC","Y","N","N","N",28-OCT-24
"LESURE","N","N","N","N",28-OCT-24
"FEE","Y","N","N","N",28-OCT-24
"JSHANG","Y","N","Y","N",28-OCT-24
"IGAZIYEV","Y","N","N","N",28-OCT-24
"LANZA","Y","N","N","N",28-OCT-24
"MI26745","N","N","N","N",28-OCT-24
"JBERLEAN","N","N","N","N",28-OCT-24
"SC26707","N","N","N","N",28-OCT-24
"HAOWEIXU","N","N","N","N",28-OCT-24
"JA26922","N","N","N","N",28-OCT-24
"AROSSER","N","N","N","N",28-OCT-24
"YOYMIS3","N","N","N","N",28-OCT-24
"CSHAY","Y","N","N","Y",28-OCT-24
"YGOMEZ","N","N","N","N",28-OCT-24
"PFLINT","N","N","N","N",28-OCT-24
"XIUYUN","N","N","N","N",28-OCT-24
"LE26786","N","N","N","N",28-OCT-24
"MA27067","N","N","N","N",28-OCT-24
"JO26517","N","N","N","N",28-OCT-24
"BEERY","Y","N","N","N",28-OCT-24
"AL26629","N","N","N","N",28-OCT-24
"JOYCEPJ","N","N","N","N",28-OCT-24
"EHUNTLEY","Y","N","N","N",28-OCT-24
"JMSNOW","N","N","N","N",28-OCT-24
"ALICIAJ","Y","N","N","N",28-OCT-24
"PCHEN3","N","N","N","N",28-OCT-24
"EHAM","Y","N","N","Y",28-OCT-24
"IVEGA","Y","N","N","N",28-OCT-24
"JCOWIN","Y","N","N","N",28-OCT-24
"SW26425","N","N","N","N",28-OCT-24
"DCDAMORE","Y","N","N","Y",28-OCT-24
"IVANJ","N","N","N","N",28-OCT-24
"FILAR","N","N","N","N",28-OCT-24
"ROBWATTS","N","N","N","N",28-OCT-24
"CMONIQUE","Y","N","N","N",28-OCT-24
"KMAGRANE","N","N","N","N",28-OCT-24
"SOLOVIEV","Y","N","N","N",28-OCT-24
"BECKFORD","N","N","N","N",28-OCT-24
"KPROGERS","Y","N","N","N",28-OCT-24
"HHADDAD","N","N","N","N",28-OCT-24
"WBEAULIE","N","N","N","N",28-OCT-24
"HR27369","N","N","N","N",28-OCT-24
"BERARDO","N","N","N","N",28-OCT-24
"MARKUSE","N","N","N","N",28-OCT-24
"JUNYIZHU","N","N","N","N",28-OCT-24
"AYA_AMER","N","N","N","N",28-OCT-24
"MBIDART","N","N","N","N",28-OCT-24
"TO27420","N","N","N","N",28-OCT-24
"HINDS","Y","N","N","N",28-OCT-24
"JCCUEVAS","N","N","N","N",28-OCT-24
"NBONAKER","N","N","N","N",28-OCT-24
"CWJAMES","Y","N","N","N",28-OCT-24
"JONSR","N","N","N","N",28-OCT-24
"ADHARVEY","N","N","N","N",28-OCT-24
"LAURAGAY","N","N","N","N",28-OCT-24
"VINCENTT","N","N","N","N",28-OCT-24
"JSCOTT","N","N","N","N",28-OCT-24
"AGOMES","N","N","N","N",28-OCT-24
"BLHULL","N","N","N","N",28-OCT-24
"CROSENTH","Y","N","N","N",28-OCT-24
"TITONE","N","N","Y","N",28-OCT-24
"SMCNUTT","N","N","N","N",28-OCT-24
"NLEVY","N","N","N","N",28-OCT-24
"JJHORTON","Y","N","N","N",28-OCT-24
