"SUBJECT_GROUPING_KEY","TERM_CODE","DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_NAME","WAREHOUSE_LOAD_DATE"
"1994SP22.01","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.02","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.03","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.14","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.20","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.30","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.40","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.51","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.54","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.56","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.70","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.86","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.95","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.97","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP22.UR","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994SP31.12","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.01","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.03","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.04","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.08","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.10","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.11","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.17","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.21","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.29","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.31","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.33","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.34","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.42","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.48","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.49","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.52","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.55","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.63","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.64","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.70","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.92","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.93","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.99","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP33.UR","1994SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994SP44.UR","1994SP","4","Architecture","4-Architecture","Architecture and Planning",28-OCT-24
"1994SP55.03","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.05","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.11","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.12","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.13","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.22","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.32","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.46","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.56","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.60","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.62","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.63","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.68","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.72","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.74","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.89","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.90","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.92","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP55.UR","1994SP","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1994SP66.UR","1994SP","6","Electrical Eng & Computer Sci","6-Electrical Eng & Computer Sci","Engineering",28-OCT-24
"1994SP77.02","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.05","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.08","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.11","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.16","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.22","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.29","1994SP","7","Biology","7-Biology","Science",28-OCT-24
