"ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","ORG_PARENT_KEY","ORG_PARENT","MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","D_CODE","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"267","267","VP-SCP","VP &SCTY OF CORP","224","PRES","267","VP-SCP","4","402500","0101090003","1","","",28-OCT-24,"D_PRESIDENT","402500","10000615","Secretary of the Corporation"
"115","115","BCS","BRAIN & COG SCI","246","S SCI","230","PROVST","5","154500","0101060168","1","9","Department of Brain and Cognitive Sciences",28-OCT-24,"D_B&CS","154500","10000535","Brain & Cognitive Sciences"
"126","126","CHEM","CHEMISTRY","246","S SCI","230","PROVST","5","152000","0101060177","1","5","Department of Chemistry",28-OCT-24,"D_CHEM","152000","10000491","Chemistry"
"127","127","CHEME","CHEMICAL ENG","243","S ENG","230","PROVST","5","062000","0101060075","1","10","Department of Chemical Engineering",28-OCT-24,"D_CHEME","062000","10000319","Chemical Engineering"
"128","128","CHILDC","CHILD CARE","172","HMNRES","163","EXECVP","6","409000","0101030666","1","","",28-OCT-24,"D_HR","409000","10000653","Human Resources"
"280","280","ESI","ENVIRONMENTAL SYSTEMS INITIATIVE","266","VP-RES","230","PROVST","5","402400","0101060205","1","","",28-OCT-24,"D_MITESI","402400","10004909","MIT Environmental Solutions Initiative"
"203","203","MIBR","MCGOVERN INSTITUTE","211","OFPROV","230","PROVST","5","400600","0101060026","1","","McGovern Institute for Brain Research",28-OCT-24,"D_MCGOVERN","400600","10000593","McGovern Institute for Brain Research"
"207","207","NRL","NUCL REACTOR LAB","266","VP-RES","230","PROVST","5","264000","0101060227","1","","Nuclear Reactor Laboratory",28-OCT-24,"D_NRL","264000","10000575","Nuclear Reactor Laboratory"
"272","272","OCR","OFFICE OF CORPORATE RELATIONS","109","APROV","230","PROVST","5","413000","0101060005","1","","Office Of Corporate Relations",28-OCT-24,"D_ILP","413000","10000671","OSATT-Corporate Relations"
"212","212","OFS","OFF FACULTY SUPPORT","152","OVC","129","CHNCLR","5","445000","0101030409","1","","",28-OCT-24,"D_OFS","445000","10002635","Faculty & Curriculum Support"
