"ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","ORG_PARENT_KEY","ORG_PARENT","MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","D_CODE","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"266","266","VP-RES","VP-RSCH","230","PROVST","230","PROVST","4","401860","0101060204","1","","",28-OCT-24,"D_VPRESOFF","401860","10000935","VP for Research"
"271","271","ZORG","ZORG ICR ONLY","224","PRES","271","ZORG","3","","0101120000","1","","",28-OCT-24,"","","",""
"102","102","ACT","ART CULT & TECH","247","SAP","230","PROVST","5","038000","0101060034","1","","",28-OCT-24,"D_ACT","038000","10000276","Program in Art, Culture and Technology"
"110","110","ARCH","ARCHITECTURE","247","SAP","230","PROVST","5","031000","0101060036","1","4","Department of Architecture",28-OCT-24,"D_ARCH","031000","10000270","Architecture"
"112","112","ATHENA","ATHENA","271","ZORG","271","ZORG","4","","0101120003","1","","",28-OCT-24,"","","",""
"130","130","CIPD","C INNOV PROD DEV","243","S ENG","230","PROVST","5","068900","0101060069","1","","",28-OCT-24,"D_CIPD","068900","10000346","Center for Innovation in Product Develmt"
"132","132","CIVIL","CIVIL & ENV ENG","243","S ENG","230","PROVST","5","063000","0101060078","1","1","Department of Civil and Environmental Engineering",28-OCT-24,"D_CEE","063000","10000320","Civil and Environmental Engineering"
"134","134","CMRA&E","C FOR MT RES A&E","204","MS&E","230","PROVST","6","401830","0101060117","1","","",28-OCT-24,"","","",""
"138","138","COPYTC","COPY TECH CENTER","267","VP-SCP","267","VP-SCP","5","874200","0101090004","1","","",28-OCT-24,"D_COPYTECH","874200","10000918","MIT Copytech"
"142","142","CSAIL","COMP SCI & AI LAB","278","SCC","230","PROVST","5","067900","0101060105","1","","",28-OCT-24,"D_CSAIL","067900","10000957","Comp Sci & Artificial Intelligence Lab"
"155","155","EDGCTR","EDGERTON CENTER","152","OVC","129","CHNCLR","5","440100","0101030406","1","","Edgerton Center",28-OCT-24,"D_EDGERTON","440100","10000721","Edgerton Center"
"156","156","EE&CS","ELEC ENG&COMP SC","243","S ENG","230","PROVST","5","064000","0101060084","1","6","Dept of Electrical Engineering & Computer Science",28-OCT-24,"D_EECS","064000","10000322","Electrical Engineering-Computer Science"
"176","176","INSTPF","INST PROFESSORS","271","ZORG","271","ZORG","4","010000","0101120009","1","","",28-OCT-24,"D_INST_PROF","010000","10000265","Institute Professors"
"187","187","LI&DS","LAB INFO&DEC SYS","278","SCC","230","PROVST","5","068700","0101060106","1","","Laboratory for Information and Decision Systems",28-OCT-24,"D_LIDS","068700","10000338","Lab for Information & Decision Systems"
"206","206","MUSEUM","MIT MUSEUM","108","APRART","230","PROVST","5","401811","0101060012","1","","",28-OCT-24,"D_MUSEUM","401811","10000604","Museum"
"211","211","OFPROV","OFF OF PROVOST","230","PROVST","230","PROVST","4","401800","0101060024","1","","",28-OCT-24,"D_PROVOST","401800","10000603","Office of the Provost"
"218","218","PARK&T","PARKING & TRANSP","150","DOFADM","163","EXECVP","5","405900","0101030625","1","","",28-OCT-24,"D_PARKING","405900","10000641","Dof Parking & Transportation"
"220","220","PI","PROFNL INSTITUTE","243","S ENG","230","PROVST","5","061500","0101060130","1","","",28-OCT-24,"D_PEP","061500","10000929","Professional Institute"
"230","230","PROVST","PROVOST","224","PRES","230","PROVST","3","401800","0101060000","1","","",28-OCT-24,"D_PROVOST","401800","10000603","Office of the Provost"
"246","246","S SCI","SCH OF SCIENCE","230","PROVST","230","PROVST","4","150000","0101060162","1","","School of Science",28-OCT-24,"D_DEANSCI","150000","10000426","School of Science"
"252","252","SSSV","STUDENT SUPP SV","261","UA&AP","129","CHNCLR","6","441200","0101030450","1","","",28-OCT-24,"D_SSWB","441200","10000729","Student Support Services"
"108","108","APRART","ASSOC PROV ARTS","230","PROVST","230","PROVST","4","401813","0101060006","1","","",28-OCT-24,"D_ARTS","401813","10000606","Office of the Arts"
"121","121","CARDSV","CARD SERVICES","160","ENTSVC","129","CHNCLR","6","862000","0101030310","1","","",28-OCT-24,"D_MITCARD","862000","10000909","MIT Card Office"
"125","125","CHAIRM","CHAIRMAN OF CORP","224","PRES","125","CHAIRM","3","400000","0101010000","1","","",28-OCT-24,"D_CORP_CHAIR","400000","10000592","Chair of the Corporation"
"140","140","CRE","C FOR RL ESTATE","247","SAP","230","PROVST","5","033000","0101060042","1","","Center for Real Estate",28-OCT-24,"D_CRE","033000","10000272","Center for Real Estate"
"283","283","D-LAB","D-LAB","152","OVC","129","CHNCLR","5","440102","0101030401","1","","D-Lab",28-OCT-24,"D_MITMAD","440102","10004033","D-Lab"
"157","157","EHS","ENV HLTH & SAFE","163","EXECVP","163","EXECVP","4","392000","0101030631","1","","",28-OCT-24,"D_EHSO","392000","10000591","Environment, Health & Safety Office"
"163","163","EXECVP","EXEC VICE PRES","224","PRES","163","EXECVP","3","404500","0101030600","1","","",28-OCT-24,"D_EXECVP","404500","10000622","Office of the Executive VP & Treasurer"
