"ACADEMIC_YEAR","TERM_CODE","SUBJECT_ID","SUBJECT_CODE","SUBJECT_NUMBER","SOURCE_SUBJECT_ID","PRINT_SUBJECT_ID","IS_PRINTED_IN_BULLETIN","DEPARTMENT_CODE","DEPARTMENT_NAME","EFFECTIVE_TERM_CODE","SUBJECT_SHORT_TITLE","SUBJECT_TITLE","IS_VARIABLE_UNITS","LECTURE_UNITS","LAB_UNITS","PREPARATION_UNITS","TOTAL_UNITS","DESIGN_UNITS","GRADE_TYPE","GRADE_TYPE_DESC","GRADE_RULE","GRADE_RULE_DESC","HGN_CODE","HGN_DESC","HGN_EXCEPT","GIR_ATTRIBUTE","GIR_ATTRIBUTE_DESC","COMM_REQ_ATTRIBUTE","COMM_REQ_ATTRIBUTE_DESC","TUITION_ATTRIBUTE","TUITION_ATTRIBUTE_DESC","WRITE_REQ_ATTRIBUTE","WRITE_REQ_ATTRIBUTE_DESC","SUPERVISOR_ATTRIBUTE","SUPERVISOR_ATTRIBUTE_DESC","PREREQUISITES","SUBJECT_DESCRIPTION","JOINT_SUBJECTS","SCHOOL_WIDE_ELECTIVES","MEETS_WITH_SUBJECTS","EQUIVALENT_SUBJECTS","IS_OFFERED_THIS_YEAR","IS_OFFERED_FALL_TERM","IS_OFFERED_IAP","IS_OFFERED_SPRING_TERM","IS_OFFERED_SUMMER_TERM","FALL_INSTRUCTORS","SPRING_INSTRUCTORS","STATUS_CHANGE","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE","MASTER_SUBJECT_ID","HASS_ATTRIBUTE","HASS_ATTRIBUTE_DESC","TERM_DURATION","GLOBAL_REGIONS","GLOBAL_COUNTRIES","ON_LINE_PAGE_NUMBER","SECTION_ID","IS_MASTER_SECTION","IS_LECTURE_SECTION","IS_LAB_SECTION","IS_RECITATION_SECTION","IS_DESIGN_SECTION","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","MEET_TIME","MEET_PLACE"
"2002","2002FA","13.700","13","700","13.700","13.700","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002JA","13.700","13","700","13.700","13.700","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002SP","13.700","13","700","13.700","13.700","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002FA","13.701","13","701","13.701","13.701","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002SP","13.701","13","701","13.701","13.701","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002FA","13.702","13","702","13.702","13.702","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002SP","13.702","13","702","13.702","13.702","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Yue, Dick","900003197","",""
"2002","2002JA","11.198","11","198","11.198","11.198","N","11","Urban Studies and Planning","2002FA","IAP Special Studies","IAP Special Studies","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","N","Y","N","N","F. Levy","F. Levy","",18-JUN-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Sanyal, Bishwapriya","900027255","",""
"2002","2002FA","11.191","11","191","11.191","11.191","N","11","Urban Studies and Planning","2002FA","Supervised Readings","Supervised Readings in Urban Studies","N",3,0,6,9,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","N","N","D. O'Rourke","D. O'Rourke","",25-JAN-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Schuster, J","900015316","",""
"2002","2002SP","11.191","11","191","11.191","11.191","N","11","Urban Studies and Planning","2002FA","Supervised Readings","Supervised Readings in Urban Studies","N",3,0,6,9,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","N","N","D. O'Rourke","D. O'Rourke","",25-JAN-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Schuster, J","900015316","",""
