"BUILDING_KEY","BUILDING_NUMBER","BUILDING_NAME","BUILDING_STREET_ADDRESS","BUILDING_MAILING_ADDRESS","BLDG_GROSS_SQUARE_FOOTAGE","BLDG_ASSIGNABLE_SQUARE_FOOTAGE","BUILDING_COUNTER","WAREHOUSE_LOAD_DATE"
"OC19G","OC19G","BATES LINAC: North Hall Exhaust","21 MANNING AVE","",454.61,372.3,1,28-OCT-24
"OC19H","OC19H","BATES LINAC: Engineering","21 MANNING AVE","",23160.22,19138.64,1,28-OCT-24
"OC19J","OC19J","BATES LINAC: Gas Bottle/Tank Storage","21 MANNING AVE","",400.94,348.95,1,28-OCT-24
"OC19K","OC19K","BATES LINAC: Vault & Tunnel Gallery","21 MANNING AVE","",55607.34,40136.19,1,28-OCT-24
"OC19L","OC19L","BATES LINAC: Warehouse #1","21 MANNING AVE","",2644.67,2299.14,1,28-OCT-24
"OC19M","OC19M","BATES LINAC: Barn","21 MANNING AVE","",2225.34,2062.22,1,28-OCT-24
"OC19N","OC19N","BATES LINAC: Warehouse #3","21 MANNING AVE","",8141.95,5850.56,1,28-OCT-24
"OC19Q","OC19Q","BATES LINAC: Water Tower","21 MANNING AVE","",241.54,188.14,1,28-OCT-24
"OC1A","OC1A","Edward Pennell Brooks Center","80  HAVEN ST","",15136.28,9683.6,1,28-OCT-24
"OC21","OC21","Wallace Astrophysical Observatory","50  GROTON RD","",1779.95,1605.36,1,28-OCT-24
"OC21A","OC21A","WALLACE ASTROPHYSICAL OBSERVATORY","50  GROTON RD","",450.17,426.64,1,28-OCT-24
"OC21B","OC21B","WALLACE ASTROPHYSICAL OBSERVATORY","50  GROTON RD","",411.47,370.71,1,28-OCT-24
"OC21C","OC21C","WALLACE ASTROPHYSICAL OBSERVATORY","50  GROTON RD","",100.38,87.21,1,28-OCT-24
"OC21D","OC21D","WALLACE ASTROPHYSICAL OBSERVATORY","50  GROTON RD","",100.38,87.21,1,28-OCT-24
"OC21E","OC21E","WALLACE ASTROPHYSICAL OBSERVATORY","50  GROTON RD","",192,72.13,1,28-OCT-24
"OC21F","OC21F","WALLACE ASTROPHYSICAL OBSERVATORY","50  GROTON RD","",100.38,87.21,1,28-OCT-24
"OC22","OC22","Westford Optics Facility (Haystack)","99 MILLSTONE ROAD","",881.78,794.16,1,28-OCT-24
"OC23","OC23","Wallace Geophysical Observatory","50  GROTON RD","",2034.38,1617.25,1,28-OCT-24
"OC24","OC24","Haystack Antenna Facility","99 MILLSTONE ROAD","",8949.55,6922.81,1,28-OCT-24
"OC25","OC25","Haystack Observatory","99 MILLSTONE ROAD","",40092.79,32035.51,1,28-OCT-24
"OC26","OC26","Haystack Atmospheric Sciences Building","99 MILLSTONE ROAD","",1396.85,1224.22,1,28-OCT-24
"OC31","OC31","Katahdin Hill 1","244  WOOD ST","",21163.64,13246.98,1,28-OCT-24
"OC31A","OC31A","Katahdin Hill 1A","244  WOOD ST","",2989.21,2567.45,1,28-OCT-24
"OC32","OC32","Lexington Field House","244  WOOD ST","",18635.38,14812.52,1,28-OCT-24
"OC32A","OC32A","Balloon House A","244  WOOD ST","",1585.32,0,1,28-OCT-24
"OC32B","OC32B","Balloon House B","244  WOOD ST","",132.03,116.25,1,28-OCT-24
"OC33","OC33","Annex 3","244  WOOD ST","",12421.75,8671.97,1,28-OCT-24
"OC35","OC35","Annex V","244  WOOD ST","",25834.27,16761.01,1,28-OCT-24
"OC36","OC36","Annex 6","244  WOOD ST","",6910.33,4364.63,1,28-OCT-24
"OC36A","OC36A","Annex 6 Trailer","244  WOOD ST","",960,912.58,1,28-OCT-24
"OC40","OC40","MASS GREEN HIGH PERFORMANCE COMPUTING CENTER","100 BIGELOW ST","",1469.02,1469.03,1,28-OCT-24
"OC46","OC46","353 MIDDLESEX AVE","353 MIDDLESEX AVE","",870,821.53,1,28-OCT-24
"OC6","OC6","645 Summer Street","645 SUMMER ST","",2200.92,1282.67,1,28-OCT-24
"W1","W1","Fariborz Maseeh Hall","305  MEMORIAL DR","",189941.11,96772.94,1,28-OCT-24
"W11","W11","Religious Activities Center","40  MASSACHUSETTS AVE","",13590.41,7922.29,1,28-OCT-24
"W15","W15","MIT Chapel","48 MASSACHUSETTS AVE (REAR)","",5339.35,2815.91,1,28-OCT-24
"W16","W16","Kresge Auditorium","48-R MASSACHUSETTS AVE","",42145.98,19755.6,1,28-OCT-24
"W18","W18","Edward and Joyce Linde Music Building","201 AMHERST ST","",48860.71,27410.43,1,28-OCT-24
"W18P","W18P","Building W18 Garage","201 AMHERST ST","",68061.1,55810.62,1,28-OCT-24
"W2","W2","Building W2","311  MEMORIAL DR","",9599.32,4877.44,1,28-OCT-24
"W20","W20","Julius Adams Stratton Student Center","84  MASSACHUSETTS AVE","",182209,115255.23,1,28-OCT-24
"W31","W31","David Flett du Pont Athletic Gymnasium","120  MASSACHUSETTS AVE","",71443.5,54543,1,28-OCT-24
"W32","W32","David Flett du Pont Athletic Center","100  MASSACHUSETTS AVE","",46578.52,26366.32,1,28-OCT-24
"W33","W33","Rockwell Athletic Cage","106 VASSAR ST","",34427.72,32379.24,1,28-OCT-24
"W34","W34","Johnson Athletics Center","120  VASSAR ST","",109397.67,82217.92,1,28-OCT-24
"W35","W35","Zesiger Sports & Fitness Center","120  VASSAR ST","",122080.04,76346.57,1,28-OCT-24
"1","1","Henry L Pierce Engineering Laboratory","33  MASSACHUSETTS AVE","",116038.74,76080.35,1,28-OCT-24
"10","10","Richard Cockburn MacLaurin Buildings (10)","222  MEMORIAL DR","",144463.46,85540.82,1,28-OCT-24
"11","11","Homberg Building","77 MASSACHUSETTS AVE (REAR)","",26777.38,18978.82,1,28-OCT-24
"12","12","Lisa T. Su Building","60  VASSAR ST","",239353.66,94638.32,1,28-OCT-24
"13","13","Vannevar Bush Building","105 MASSACHUSETTS AVE (REAR)","",183539.92,96326.43,1,28-OCT-24
"14","14","Charles Hayden Memorial Library","160  MEMORIAL DR","",142706.51,88319.84,1,28-OCT-24
"16","16","Dorrance Building","21  AMES ST","",116006.44,57891.59,1,28-OCT-24
"17","17","Wright Brothers Wind Tunnel","76  VASSAR ST","",21400.99,6365.52,1,28-OCT-24
"18","18","Camille Edouard Dreyfus Building","21  AMES ST","",133732.1,75660.41,1,28-OCT-24
"2","2","THE SIMONS BUILDING","182  MEMORIAL DR","",133168.22,73699.9,1,28-OCT-24
"24","24","Building 24","60  VASSAR ST","",78022.39,48947.41,1,28-OCT-24
"26","26","Karl Taylor Compton Laboratories","60  VASSAR ST","",133479.58,80155.08,1,28-OCT-24
"3","3","Richard Cockburn MacLaurin Buildings (3)","33 MASSACHUSETTS AVE (REAR)","",160694.2,104711.35,1,28-OCT-24
"31","31","Sloan Laboratories For Aircraft & Automotive Engineering","70  VASSAR ST (REAR)","",76205.74,53691.61,1,28-OCT-24
"32","32","Ray and Maria Stata Center","32 VASSAR ST","",466722.26,285682.43,1,28-OCT-24
"32P","32P","Ray and Maria Stata Center Garage","32 VASSAR ST","",239353.28,219210.49,1,28-OCT-24
"33","33","Daniel Guggenheim Aeronautical Laboratory","125  MASSACHUSETTS AVE","",47128.95,32201.62,1,28-OCT-24
"34","34","EG&G Education Center","50  VASSAR ST","",25951.44,14472.14,1,28-OCT-24
"35","35","Sloan Laboratory","127  MASSACHUSETTS AVE","",68012.32,41615.67,1,28-OCT-24
"36","36","Fairchild Buildings (36)","50  VASSAR ST","",144920.44,72402.85,1,28-OCT-24
"37","37","Ronald E McNair Building","70  VASSAR ST","",102777.46,55535.5,1,28-OCT-24
"38","38","Fairchild Buildings (38)","50  VASSAR ST","",84000.79,56496.48,1,28-OCT-24
"39","39","Stanley Gordon Brown Building","60  VASSAR ST","",76639.87,39391.05,1,28-OCT-24
"4","4","Richard Cockburn MacLaurin Buildings (4)","182  MEMORIAL DR (REAR)","",163412.72,96229.87,1,28-OCT-24
"41","41","Building 41","77  VASSAR ST","",26148.19,20055.87,1,28-OCT-24
"42","42","William R. Dickson Cogeneration Plant","59  VASSAR ST","",80474.4,4209.52,1,28-OCT-24
"42C","42C","BUILDING 42C","37 ALBANY ST","",102667.76,6598.36,1,28-OCT-24
"43","43","Power Plant Annex","57  VASSAR ST","",10373.95,5443.11,1,28-OCT-24
"45","45","SCHWARZMAN COLLEGE OF COMPUTING","51  VASSAR ST","",188133.46,119313.99,1,28-OCT-24
"46","46","Brain & Cognitive Sciences Complex","43 VASSAR ST","",418299.52,220526.82,1,28-OCT-24
"48","48","Ralph M Parsons Laboratory For Water Resources & Hydrodynamics","15  VASSAR ST","",57255.46,38949.64,1,28-OCT-24
"5","5","Pratt School Of Naval Architecture And Marine Engineering","55  MASSACHUSETTS AVE","",80942.35,54393.99,1,28-OCT-24
"50","50","Walker Memorial","142  MEMORIAL DR","",74063.57,46620.54,1,28-OCT-24
"51","51","Walter C Wood Sailing Pavilion","134 MEMORIAL DR","",5889.33,4450.4,1,28-OCT-24
"54","54","Cecil And Ida Green Building","21  AMES ST","",128954.67,68090.85,1,28-OCT-24
"55","55","TINA AND HAMID MOGHADAM BUILDING","21  AMES ST","",15474.72,4666,1,28-OCT-24
"56","56","Uncas A Whitaker Building","21  AMES ST","",143940.24,78459.3,1,28-OCT-24
"57","57","MIT Alumni Pool","6  VASSAR ST","",39121.04,22855.94,1,28-OCT-24
"6","6","George Eastman Research","182  MEMORIAL DR (REAR)","",90245.98,53772.71,1,28-OCT-24
"62","62","Alumni Houses: Munroe Hayden Wood","3 AMES ST (REAR)","",77154,50154.4,1,28-OCT-24
"64","64","Alumni Houses: Walcott Bemis Goodale","3  AMES ST","",73432.63,48059.08,1,28-OCT-24
"66","66","Ralph Landau Building","25  AMES ST","",133709.64,71234.29,1,28-OCT-24
"68","68","David H. Koch Biology Building","31  AMES ST","",260390.37,155101.1,1,28-OCT-24
"6C","6C","PDSI","182  MEMORIAL DR (REAR)","",51288.87,17471.75,1,28-OCT-24
"7","7","William Barton Rogers Building","77  MASSACHUSETTS AVE","",100553.38,50407.77,1,28-OCT-24
"76","76","David H. Koch Institute For Integrative Cancer Research","500 MAIN ST","",367688.6,205734.52,1,28-OCT-24
"7A","7A","Rotch Library Extension","77  MASSACHUSETTS AVE","",18501.98,14818.84,1,28-OCT-24
"8","8","Building 8","21  AMES ST","",66165.06,36920.63,1,28-OCT-24
"9","9","Samuel Tak Lee Building","105  MASSACHUSETTS AVE","",77414,38796.37,1,28-OCT-24
"E1","E1","Gray House (Formerly President's House)","111  MEMORIAL DR","",18642.53,11453.62,1,28-OCT-24
"W36","W36","BUILDING W36","130 VASSAR ST","",1098.23,0,1,28-OCT-24
"W4","W4","Stanley McCormick Hall","320  MEMORIAL DR","",128989.56,65671.32,1,28-OCT-24
"W41","W41","BUILDING W41","134 MASSACHUSETTS AVENUE","",0,0,1,28-OCT-24
"W46","W46","New Vassar Residence Hall","189 VASSAR ST","",177607.67,87079.29,1,28-OCT-24
"W5","W5","Ida Flansburgh Green Hall","350  MEMORIAL DR","",19010.96,9765.94,1,28-OCT-24
"W51","W51","Burton-Conner House","410  MEMORIAL DR","",167922.77,98789.4,1,28-OCT-24
"W51C","W51C","405 Memorial Drive - Pi Phi","405  MEMORIAL DR","",17286.8,9907.38,1,28-OCT-24
"W51D","W51D","BUILDING W51D","407 MEMORIAL DR","",16346.18,8901.02,1,28-OCT-24
"W53","W53","J B Carr Indoor Tennis Facility","410 MEMORIAL DR (REAR)","",25692.9,24982.22,1,28-OCT-24
"W53A","W53A","J B Carr Indoor Tennis Facility (Office)","410 MEMORIAL DR (REAR)","",1159.47,694.95,1,28-OCT-24
"W53B","W53B","J B Carr Indoor Tennis Facility (Office)","410 MEMORIAL DR (REAR)","",140,59.95,1,28-OCT-24
"W53C","W53C","Building W53C","410 MEMORIAL DR (REAR)","",253.69,0,1,28-OCT-24
"W53D","W53D","J B Carr Indoor Tennis Facility(Svc)","410 MEMORIAL DR (REAR)","",141.79,111.46,1,28-OCT-24
"W53E","W53E","Building W53E","410 MEMORIAL DR (REAR)","",98.84,37.03,1,28-OCT-24
"W53F","W53F","BUILDING W53F","410 MEMORIAL DR (REAR)","",193.96,166.88,1,28-OCT-24
"W53G","W53G","BUILDING W53G","410 MEMORIAL DR (REAR)","",48.31,35.31,1,28-OCT-24
"W55","W55","BUILDING W55","130 VASSAR ST","",263.84,213.01,1,28-OCT-24
"W59","W59","Heinz Building","201  VASSAR ST","",36051.39,25189.26,1,28-OCT-24
"W61","W61","Frank S MacGregor House","450  MEMORIAL DR","",168261.25,93479.22,1,28-OCT-24
"W64","W64","Building W64","219 VASSAR ST","",13367.83,9321.57,1,28-OCT-24
"W7","W7","Everett Moore Baker House","362  MEMORIAL DR","",133099.42,74707.04,1,28-OCT-24
"W70","W70","New West Campus Houses","471-476  MEMORIAL DR","",126147.84,63945.41,1,28-OCT-24
"W71","W71","Next House","500  MEMORIAL DR","",132006.46,81759.08,1,28-OCT-24
"W79","W79","Simmons Hall","229 VASSAR ST","",191240.66,96705.18,1,28-OCT-24
"W8","W8","Richard J. Resch Boathouse","409 MEMORIAL DR","",21710.72,19675.96,1,28-OCT-24
"W83","W83","BUILDING W83","11 AUDREY ST","",270,0,1,28-OCT-24
"W84","W84","Tang Residence Hall","550  MEMORIAL DR","",152378.32,109703.23,1,28-OCT-24
"W85","W85","Westgate  Married Student Housing","540 MEMORIAL DR (REAR)","",115603.99,84600.32,1,28-OCT-24
"W85ABC","W85ABC","Westgate ABC","11-13-15 AUDREY ST","",13983.54,11133.38,1,28-OCT-24
"W85DE","W85DE","Westgate DE","292-290 VASSAR ST","",9320.91,7417.78,1,28-OCT-24
"W85FG","W85FG","Westgate FG","286-284 VASSAR ST","",9320.91,7417.78,1,28-OCT-24
"W85HJK","W85HJK","Westgate HJK","282-280-278 VASSAR ST","",13995.47,11150.3,1,28-OCT-24
"W87","W87","Graduate Junction (W87)","269 VASSAR ST","",0,0,1,28-OCT-24
"W88","W88","Graduate Junction (W88)","299 VASSAR ST","",0,0,1,28-OCT-24
"W91","W91","Building W91","565-570 MEMORIAL DR","",35748.48,16886.53,1,28-OCT-24
"W92","W92","Building W92","304 VASSAR ST","",86521.66,73948.31,1,28-OCT-24
"W97","W97","BUILDING W97","345 VASSAR ST","",30550.79,18125.92,1,28-OCT-24
"W98","W98","600 Memorial Drive","600 MEMORIAL DR","",82624.13,47377.03,1,28-OCT-24
"WW15","WW15","Building WW15","350  BROOKLINE ST","",42145.75,37393.77,1,28-OCT-24
"E14","E14","Building E14","75  AMHERST ST","",173875.21,77946.22,1,28-OCT-24
"E15","E15","Wiesner Building","20  AMES ST","",120331.42,79233.13,1,28-OCT-24
"E17","E17","Seely G Mudd Building","40  AMES ST","",80477.33,51165.81,1,28-OCT-24
"E18","E18","Horace Sayford Ford Building (E18)","50  AMES ST","",115069.29,70990.97,1,28-OCT-24
"E19","E19","Horace Sayford Ford Building (E19)","400  MAIN ST","",150661.42,99911.7,1,28-OCT-24
"E2","E2","70 AMHERST","4  AMES ST","",64847.33,36182.32,1,28-OCT-24
"E23","E23","MIT Health","25  CARLETON ST","",103338.41,63031.16,1,28-OCT-24
"E25","E25","Whitaker College Of Health Sciences & Technology","45  CARLETON ST","",156676.36,90509.46,1,28-OCT-24
"E28","E28","314 MAIN STREET","314 MAIN ST","",67370.45,49495.22,1,28-OCT-24
"E37","E37","BUILDING E37","45 HAYWARD ST","",410661.92,218920.27,1,28-OCT-24
"E37P","E37P","BUILDING E37P","25 HAYWARD ST","",1747.82,746.11,1,28-OCT-24
"E38","E38","BUILDING E38","292  MAIN ST","",124448.22,46839.51,1,28-OCT-24
"E40","E40","The Muckley Building","1 AMHERST ST","",106747.05,69333.73,1,28-OCT-24
"E51","E51","Jack C Tang Center For Management Education","70  MEMORIAL DR","",107990.76,52995.34,1,28-OCT-24
