"VIEW_ID","FIELD_ID","SENSITIVITY_ID","STATUS","INDEXED"
1415,4190,,"",""
1415,4191,,"",""
1415,3743,,"",""
1415,41,,"",""
1416,4192,,"",""
1416,4186,,"",""
1416,4187,,"",""
1416,4188,,"",""
1416,4189,,"",""
1416,4190,,"",""
1416,4191,,"",""
1416,41,,"",""
5017,10362,,"",""
5017,10363,,"",""
5017,10364,,"",""
5017,10365,,"",""
337,1967,,"",""
337,1973,,"",""
337,1966,,"",""
337,1962,,"",""
337,1963,,"",""
337,1964,,"",""
337,1969,,"",""
337,1970,,"",""
337,1971,,"",""
337,1972,,"",""
337,41,,"",""
2712,3227,,"",""
2712,278,,"",""
2712,283,,"",""
2712,6506,,"",""
2712,6586,,"",""
2712,286,,"",""
2712,1579,,"",""
2712,1427,,"",""
2712,339,,"",""
2712,3260,,"",""
2712,3261,,"",""
2712,6507,,"",""
2712,1304,,"",""
2712,1278,,"",""
2712,5163,,"",""
2712,4431,,"",""
2712,6508,,"",""
2712,3265,,"",""
2712,41,,"",""
5017,10366,,"",""
5017,10367,,"",""
5017,8407,,"",""
8487,285,,"",""
5676,3207,,"",""
5676,4601,,"",""
5676,5421,,"",""
5676,5423,,"",""
5676,5409,,"",""
5676,11422,,"",""
5676,283,,"",""
5676,289,,"",""
5676,5494,,"",""
5676,348,,"",""
5676,4826,,"",""
5676,11423,,"",""
5676,11424,,"",""
5676,11425,,"",""
5676,11426,,"",""
5676,11427,,"",""
5676,11428,,"",""
5676,11429,,"",""
5676,11430,,"",""
5676,11431,,"",""
5676,11432,,"",""
5676,11433,,"",""
6679,13585,,"",""
6679,13586,,"",""
6679,13587,,"",""
6679,13588,,"",""
6679,13589,,"",""
6679,13590,,"",""
6679,13591,,"",""
6679,3211,,"",""
6679,3212,,"",""
6679,15498,,"",""
6679,15499,,"",""
6679,41,,"",""
94,1099,,"",""
94,300,,"",""
94,308,,"",""
2773,280,,"",""
2773,281,,"",""
2773,282,,"",""
2773,285,,"",""
2773,308,,"",""
2773,309,,"",""
2773,3154,,"",""
2773,3488,,"",""
2773,6587,,"",""
2773,6588,,"",""
2773,6589,,"",""
2773,6175,,"",""
2773,6590,,"",""
2773,6591,,"",""
94,309,,"",""
94,310,,"",""
94,311,,"",""
94,312,,"",""
94,313,,"",""
94,314,,"",""
94,315,,"",""
94,316,,"",""
94,317,,"",""
94,318,,"",""
3036,7198,,"",""
3036,4646,,"",""
3036,4647,,"",""
3036,4648,,"",""
3036,4649,,"",""
3036,7199,,"",""
3036,1248,,"",""
3036,41,,"",""
94,319,,"",""
94,320,,"",""
94,321,,"",""
94,322,,"",""
94,323,,"",""
94,324,,"",""
94,325,,"",""
94,326,,"",""
94,327,,"",""
94,328,,"",""
94,329,,"",""
94,330,,"",""
94,331,,"",""
94,332,,"",""
94,333,,"",""
94,334,,"",""
3039,7204,,"",""
3039,7205,,"",""
3039,7206,,"",""
3039,41,,"",""
94,335,,"",""
94,337,,"",""
94,338,,"",""
94,339,,"",""
3058,7128,,"",""
3058,7224,,"",""
3058,7225,,"",""
3058,41,,"",""
94,340,,"",""
94,341,,"",""
94,342,,"",""
94,343,,"",""
94,344,,"",""
94,345,,"",""
94,346,,"",""
94,347,,"",""
94,348,,"",""
94,349,,"",""
94,350,,"",""
94,351,,"",""
94,352,,"",""
94,353,,"",""
94,360,,"",""
94,361,,"",""
94,364,,"",""
2019,5686,,"",""
2019,5372,,"",""
2019,448,,"",""
2019,5373,,"",""
2019,23161,,"",""
2019,5374,,"",""
2019,5375,,"",""
2019,5376,,"",""
2019,22941,,"",""
2019,22942,,"",""
2019,22943,,"",""
2019,22944,,"",""
2019,22945,,"",""
2019,22946,,"",""
2019,5377,,"",""
2019,5378,,"",""
2019,5379,,"",""
2019,5380,,"",""
2019,5381,,"",""
2019,5382,,"",""
2019,5383,,"",""
2019,5384,,"",""
2019,5385,,"",""
2019,5386,,"",""
2019,5387,,"",""
2019,5388,,"",""
2019,360,,"",""
2019,14569,,"",""
2019,14570,,"",""
2019,16547,,"",""
2019,16548,,"",""
2019,5389,,"",""
2019,5390,,"",""
2019,5391,,"",""
2019,5392,,"",""
2019,5393,,"",""
2019,5394,,"",""
2019,5395,,"",""
