"FUND_CENTER_KEY","FUND_CENTER_ID","FUND_CENTER_NAME","FUND_CENTER_ID_LEVEL1","FUND_CENTER_NAME_LEVEL1","FUND_CENTER_ID_LEVEL2","FUND_CENTER_NAME_LEVEL2","FUND_CENTER_ID_LEVEL3","FUND_CENTER_NAME_LEVEL3","FUND_CENTER_ID_LEVEL4","FUND_CENTER_NAME_LEVEL4","FUND_CENTER_ID_LEVEL5","FUND_CENTER_NAME_LEVEL5","FUND_CENTER_ID_LEVEL6","FUND_CENTER_NAME_LEVEL6","FUND_CENTER_ID_LEVEL7","FUND_CENTER_NAME_LEVEL7","FUND_CENTER_ID_LEVEL8","FUND_CENTER_NAME_LEVEL8","FUND_CENTER_ID_LEVEL9","FUND_CENTER_NAME_LEVEL9","FUND_CENTER_ID_LEVEL10","FUND_CENTER_NAME_LEVEL10","WAREHOUSE_LOAD_DATE"
"102130","102130","GNO-CHEM/CHEMISTRY P152000","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100109","CHEMISTRY","102130","GNO-CHEM/CHEMISTRY P152000","","","","","","","","","","",28-OCT-24
"400159","400159","DH-BIOLOGICAL ENGINEERING P069200","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100152","BIOLOGICAL ENGINEERING P069200","400159","DH-BIOLOGICAL ENGINEERING P069200","","","","","","","","","","",28-OCT-24
"400609","400609","DH-MIT PRESS/HQ","100000","PRESIDENT","100001","PROVOST AREA","100284","MIT PRESS","400608","DH-MIT PRESS","400609","DH-MIT PRESS/HQ","","","","","","","","","","",28-OCT-24
"400654","400654","DH-DCI/ENVISIONING SCIENCE PROJECT","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100121","DEAN/SCHOOL OF SCIENCE","400654","DH-DCI/ENVISIONING SCIENCE PROJECT","","","","","","","","","","",28-OCT-24
"103210","103210","GO - CLAB","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100830","COMMUNICATION LAB","103210","GO - CLAB","","","","","","","","","","",28-OCT-24
"106156","106156","GO - OIS","100000","PRESIDENT","100001","PROVOST AREA","100016","OFFICE OF PROVOST","120011","Office of Innovation and Strategy","106156","GO - OIS","","","","","","","","","","",28-OCT-24
"401671","401671","DH - HEERF II AWARD P445100","100000","PRESIDENT","100001","PROVOST AREA","100671","OFFICE OF THE VICE CHANCELLOR","100647","OVC HQ","401671","DH - HEERF II AWARD P445100","","","","","","","","","","",28-OCT-24
"100639","100639","CAMPUS DINING P801000","100000","PRESIDENT","100001","PROVOST AREA","100259","DEAN FOR STUDENT LIFE","100639","CAMPUS DINING P801000","","","","","","","","","","","","",28-OCT-24
"101006","101006","GO-EAPS P153000","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100110","EARTH, ATMOSPHERIC, & PLANETARY SCIENCES","101006","GO-EAPS P153000","","","","","","","","","","",28-OCT-24
"101828","101828","GO - SCSB P154501","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100552","SIMONS CENTER FOR THE SOCIAL BRAIN","101828","GO - SCSB P154501","","","","","","","","","","",28-OCT-24
"205455","205455","PI-DEAN SCHOOL OF SCIENCE P150000","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100121","DEAN/SCHOOL OF SCIENCE","205455","PI-DEAN SCHOOL OF SCIENCE P150000","","","","","","","","","","",28-OCT-24
"206100","206100","PI-KIASR P159601","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100118","CENTER FOR SPACE RESEARCH","206100","PI-KIASR P159601","","","","","","","","","","",28-OCT-24
"101658","101658","GO-MEDIA LAB P039000","100000","PRESIDENT","100001","PROVOST AREA","100011","ARCHITECTURE & PLANNING","100052","MEDIA LAB P039000","101658","GO-MEDIA LAB P039000","","","","","","","","","","",28-OCT-24
"202835","202835","BROOKS /RODNEY EECS P0640000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","202835","BROOKS /RODNEY EECS P0640000","","","","","","","","",28-OCT-24
"202880","202880","LIM /JAE EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","202880","LIM /JAE EECS P064000","","","","","","","","",28-OCT-24
"202836","202836","CHAPIN /JOHN EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","202836","CHAPIN /JOHN EECS P064000","","","","","","","","",28-OCT-24
"203310","203310","WILSON /GERALD EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","203310","WILSON /GERALD EECS P064000","","","","","","","","",28-OCT-24
"202161","202161","PI-NUCLEAR ENGINEERING P068000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100061","NUCLEAR ENGINEERING P068000","202161","PI-NUCLEAR ENGINEERING P068000","","","","","","","","","","",28-OCT-24
"400431","400431","DIR-BPEC P068800","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100066","BIOTECH. PROCESS ENGINEERING CTR P068800","400431","DIR-BPEC P068800","","","","","","","","","","",28-OCT-24
"400152","400152","DH-NUCLEAR ENGINEERING P068000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100061","NUCLEAR ENGINEERING P068000","400152","DH-NUCLEAR ENGINEERING P068000","","","","","","","","","","",28-OCT-24
"102900","102900","GNO-SLOAN SCHOOL OF MANAGEMENT P121000","100000","PRESIDENT","100001","PROVOST AREA","100014","MANAGEMENT","100098","SLOAN SCHOOL OF MANAGEMENT","102900","GNO-SLOAN SCHOOL OF MANAGEMENT P121000","","","","","","","","","","",28-OCT-24
"400107","400107","DH-MEDIA ARTS & SCIENCES P036000","100000","PRESIDENT","100001","PROVOST AREA","100011","ARCHITECTURE & PLANNING","100049","PROGRAM IN MEDIA ARTS & SCIENCES","400107","DH-MEDIA ARTS & SCIENCES P036000","","","","","","","","","","",28-OCT-24
"221034","221034","PI -OEOP P060001","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100731","Office of Engineering Outreach Program","221034","PI -OEOP P060001","","","","","","","","","","",28-OCT-24
"205836","205836","WOLPERT /ANN J CMI P400900","100000","PRESIDENT","100001","PROVOST AREA","100505","CAMBRIDGE-MIT INSTITUTE P400900","204228","PI-CAMBRIDGE MIT INSTITUTE","205836","WOLPERT /ANN J CMI P400900","","","","","","","","","","",28-OCT-24
"206916","206916","COLTON /CLARK K CMI P400900","100000","PRESIDENT","100001","PROVOST AREA","100505","CAMBRIDGE-MIT INSTITUTE P400900","204228","PI-CAMBRIDGE MIT INSTITUTE","206916","COLTON /CLARK K CMI P400900","","","","","","","","","","",28-OCT-24
