"FAC_BUILDING_KEY","BUILDING_NUMBER","PARENT_BUILDING_NUMBER","PARENT_BUILDING_NAME","PARENT_BUILDING_NAME_LONG","BUILDING_NAME_LONG","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","SITE","CAMPUS_SECTOR","ACCESS_LEVEL_CODE","ACCESS_LEVEL_NAME","BUILDING_TYPE","OWNERSHIP_TYPE","BUILDING_USE","OCCUPANCY_CLASS","BUILDING_HEIGHT","COST_CENTER_CODE","COST_COLLECTOR_KEY","LATITUDE_WGS","LONGITUDE_WGS","EASTING_X_SPCS","NORTHING_Y_SPCS","BUILDING_SORT","BUILDING_NAMED_FOR","BUILDING_NAME","DATE_BUILT","DATE_ACQUIRED","DATE_OCCUPIED","WAREHOUSE_LOAD_DATE","NUM_OF_ROOMS"
"E28","E28","","","","314 MAIN STREET",67370.45,49495.22,0,"MIT","EAST",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"E28","","314 MAIN STREET","02/05/2021","","02/26/2021",28-OCT-24,74
"E37","E37","","","","BUILDING E37",410661.92,218920.27,109373.92,"MIT","EAST",2,"2","RESIDENT","OWNED","AER","(NULL)","0.00","","",,,,,"E37","","BUILDING E37","08/27/2020","","08/27/2020",28-OCT-24,1079
"E38","E38","","","","BUILDING E38",124448.22,46839.51,45655.12,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","","",,,,,"E38","","BUILDING E38","08/27/2020","","08/27/2020",28-OCT-24,341
"E40","E40","","","","The Muckley Building",106747.05,69333.73,26394.11,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGB","64.50","1824000","1824000",42.36116319,-71.08485302,768367.39924900001,2956910.1065600002,"E40","DWIGHT S. MUCKLEY","MUCKLEY BUILDING","05/01/1930","06/01/1968","12/31/1969",28-OCT-24,515
"E51","E51","","","","Jack C Tang Center For Management Education",107990.76,52995.34,42538.3,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGA3","60.00","1825100","1825100",42.36055421,-71.08449242,768465.93793200003,2956688.6550699901,"E51","-","TANG CENTER","12/31/1944","12/31/1945","12/31/1980",28-OCT-24,309
"E52","E52","","","","MORRIS & SOPHIE CHANG BUILDING",161974.43,95746.47,47611.23,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","97.40","1825200","1825200",42.36073592,-71.08367668,768686.08396199904,2956755.9513699901,"E52","Morris and Sophie Chang","MORRIS & SOPHIE CHANG BUILDING","12/31/1938","01/01/1951","05/01/1952",28-OCT-24,587
"E53","E53","","","","Grover M Hermann Building",84984.92,53539.04,24845.38,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGA3","72.20","1825300","1825300",42.36118818,-71.08359227,768708.09014900005,2956920.8726300001,"E53","GROVER MARTIN HERMANN","HERMANN BUILDING","01/01/1964","","10/01/1965",28-OCT-24,293
"E60","E60","","","","Arthur D Little Building",30130.11,12961.15,12858.51,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGB","","","",42.36117731,-71.08217568,769090.96655200003,2956918.78354999,"E60","ARTHUR D. LITTLE","ARTHUR D LITTLE BUILDING","12/31/1917","07/01/1997","03/01/1994",28-OCT-24,141
"E62","E62","","","","Building E62",267192.5,152222.92,87983.3,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","0.00","1823000","1823000",42.36134747,-71.08265495,768961.13217600004,2956980.1616799901,"E62","-","BUILDING E62","07/28/2010","","07/28/2010",28-OCT-24,658
"E66","E66","","","","1 Memorial Drive",0,0,0,"MIT","EAST",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"E66","","1 MEMORIAL DRIVE","","03/18/2024","01/01/2026",28-OCT-24,0
"E70","E70","","","","Badger Building",17453.41,14887.58,135.59,"MIT","EAST",2,"2","SERVICE","LEASED","OTH","UGB","226.70","1827000","1827000",42.36274923,-71.08346319,768740.19956099906,2957489.9233900001,"E70","-","BADGER BUILDING","","","10/01/1995",28-OCT-24,79
"E90","E90","","","","Building E90",54286.48,50282.32,533,"MIT","EAST",2,"2","ACADEMIC","LEASED","AER","UGB","0.00","","",,,,,"E90","-","BUILDING E90","03/21/2014","","03/21/2014",28-OCT-24,304
"E94","E94","","","","BUILDING E94",15506.61,14101.34,205.19,"MIT","EAST",2,"2","ACADEMIC","LEASED","AER","UGB","0.00","","",,,,,"E94","-","BUILDING E94","05/04/2015","","05/04/2015",28-OCT-24,104
"N10","N10","","","","High Voltage Research Laboratory",10084.86,8101.7,637.89,"MIT","NORTH",1,"1","ACADEMIC","OWNED","AER","UGB","33.00","1851000","1851000",42.3608633,-71.09545096,765503.660821,2956787.0565499901,"N10","-","HIGH VOLTAGE RESEARCH LAB","07/01/1964","","02/01/1965",28-OCT-24,53
"N16","N16","","","","Cooling Tower & Oil Reserve",34794.86,3441.66,29361.02,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","59.00","","",42.36126662,-71.09406593,765877.28985399904,2956935.8126300001,"N16","-","COOLING TOWER & OIL RESERVE","09/20/1971","","12/31/1972",28-OCT-24,24
"N47","N47","","","","BUILDING N47",11861.01,7991.58,103.5,"MIT","NORTH",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"N47","","BUILDING N47","","","01/01/2023",28-OCT-24,26
"N51","N51","","","","Building N51",44980.93,33618.41,8370.15,"MIT","NORTH",2,"2","ACADEMIC","OWNED","AER","UGBA3","50.90","1855100","1855100",42.36228442,-71.09762771,764912.91509100003,2957302.1611899901,"N51","-","BUILDING N51","12/31/1924","04/16/1982","01/01/1964",28-OCT-24,126
"N52","N52","","","","Building N52",103874.44,71730.92,21251.21,"MIT","NORTH",2,"2","ACADEMIC","OWNED","AER","UGA3B","56.80","1855200","1855200",42.36227273,-71.09718823,765031.70745500003,2957298.4603300001,"N52","-","BUILDING N52","12/31/1924","04/16/1982","01/01/1964",28-OCT-24,321
"N57","N57","","","","Building N57",46882.29,41521.21,3021.22,"MIT","NORTH",2,"2","SERVICE","OWNED","AER","UGBS1","78.20","1855700","1855700",42.3630114,-71.09882964,764586.83377400006,2957565.5576800001,"N57","-","BUILDING N57","12/31/1922","09/01/1980","09/01/1980",28-OCT-24,54
"OC1","OC1","","","","Endicott House",29214.19,17229.44,6961.62,"END","OFFCAMPUS",2,"2","ACADEMIC","OWNED","OTH","UGR1A3","","","",42.25394889,-71.19365441,739102.39364899904,2917714.92627999,"OC01","THE ENDICOTT FAMILY","ENDICOTT HOUSE","","12/24/1954","07/01/1955",28-OCT-24,185
"OC6","OC6","","","","645 Summer Street",2200.92,1282.67,0,"BOS","OFFCAMPUS",1,"1","SERVICE","LEASED","OTH","(NULL)","","","",,,,,"OC06","-","645 SUMMER STREET","","","04/29/2008",28-OCT-24,1
"W11","W11","","","","Religious Activities Center",13590.41,7922.29,4152.3,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGB","16.40","1831100","1831100",42.35826109,-71.09353578,766025.78984600003,2955841.2188300001,"W11","-","RELIGIOUS ACTIVITIES CENTER","12/31/1936","02/01/1966","01/01/1967",28-OCT-24,63
"W15","W15","","","","MIT Chapel",5339.35,2815.91,1959.77,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA4","33.20","1831500","1831500",42.35832688,-71.09412494,765866.43793400005,2955864.4363799901,"W15","-","MIT CHAPEL","05/01/1954","","05/01/1955",28-OCT-24,26
"W16","W16","","","","Kresge Auditorium",42145.98,19755.6,18851.56,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA1A3","50.20","1831600","1831600",42.35813383,-71.09505791,765614.61178499903,2955792.8880799902,"W16","SEBASTIAN S. KRESGE","KRESGE AUDITORIUM","05/01/1953","","12/31/1956",28-OCT-24,96
"W18","W18","","","","Edward and Joyce Linde Music Building",48860.71,27410.43,21401.48,"MIT","WEST",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","","",,,,,"W18","Edward and Joyce Linde","LINDE MUSIC BUILDING","08/05/2024","","08/05/2024",28-OCT-24,137
"W20","W20","","","","Julius Adams Stratton Student Center",182209,115255.23,57027.97,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA3M","75.00","1832000","1832000",42.3590424,-71.09477464,765689.59944699903,2956124.3528800001,"W20","JULIUS ADAMS STRATTON","STRATTON STUDENT CENTER","09/01/1963","","10/01/1965",28-OCT-24,443
"W31","W31","","","","David Flett du Pont Athletic Gymnasium",71443.5,54543,8716.89,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA3B","52.60","1833100","1833100",42.35963776,-71.09516824,765582.19012499903,2956340.8070499902,"W31","DAVID FLETT DUPONT","DU PONT ATHLETIC GYMNASIUM","12/31/1902","09/01/1957","09/01/1957",28-OCT-24,144
"W32","W32","","","","David Flett du Pont Athletic Center",46578.52,26366.32,15073.3,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGBA3","36.10","1833200","1833200",42.35936841,-71.09513369,765591.99335400003,2956242.6953400001,"W32","DAVID FLETT DUPONT","DU PONT ATHLETIC CENTER","02/01/1958","","10/01/1959",28-OCT-24,90
"W33","W33","","","","Rockwell Athletic Cage",34427.72,32379.24,594.57,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA3","22.80","1833300","1833300",42.35920175,-71.09597193,765365.72623899905,2956180.88854999,"W33","JOHN ARNOLD ROCKWELL M.D.","ROCKWELL CAGE","07/01/1947","","06/01/1948",28-OCT-24,7
"W34","W34","","","","Johnson Athletics Center",109397.67,82217.92,20743.24,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA3","37.90","1833400","1833400",42.35859572,-71.09652993,765215.96003399906,2955959.3241400002,"W34","HOWARD WESLEY JOHNSON","JOHNSON ATHLETICS CENTER","07/01/1979","","10/01/1980",28-OCT-24,74
"W35","W35","","","","Zesiger Sports & Fitness Center",122080.04,76346.57,36482.32,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA1A3BH","65.70","1833500","1833500",42.35871563,-71.09575051,765426.41104399902,2956004.01868999,"W35","ALBERT & BARRIE ZESIGER","SPORTS & FITNESS CENTER","10/01/2000","","09/01/2002",28-OCT-24,225
"W36","W36","","","","BUILDING W36",1098.23,0,853.35,"MIT","WEST",2,"2","SERVICE","OWNED","(NULL)","(NULL)","0.00","","",,,,,"W36","","BUILDING W36","08/31/2016","","08/31/2016",28-OCT-24,4
"W41","W41","","","","BUILDING W41",0,0,0,"MIT","WEST",2,"2","ACADEMIC","OWNED","(NULL)","(NULL)","0.00","","",,,,,"W41","","BUILDING W41","09/01/1895","07/01/2016","07/01/2016",28-OCT-24,0
"W46","W46","","","","New Vassar Residence Hall",177607.67,87079.29,68397.21,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","0.00","","",,,,,"W46","","NEW VASSAR RESIDENCE HALL","07/15/2020","","07/15/2020",28-OCT-24,527
"W51","W51","","","","Burton-Conner House",167922.77,98789.4,42110.34,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","72.00","1345900","1345900",42.35596941,-71.09812434,764789.537197,2955000.20927,"W51","BURTON, ARTHUR J. CONNER","BURTON-CONNER HOUSE","12/31/1927","12/31/1947","12/31/1948",28-OCT-24,671
"W53","W53","","","","J B Carr Indoor Tennis Facility",25692.9,24982.22,0,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGB","39.00","","",42.35692322,-71.09780405,764874.46957900003,2955348.2062400002,"W53","JASPER B. CARR","CARR INDOOR TENNIS FACILITY","04/01/1971","","12/31/1971",28-OCT-24,1
"W55","W55","","","","BUILDING W55",263.84,213.01,18.59,"MIT","WEST",2,"2","SERVICE","OWNED","(NULL)","(NULL)","0.00","","",,,,,"W55","","BUILDING W55","","","08/31/2016",28-OCT-24,2
"W59","W59","","","","Heinz Building",36051.39,25189.26,6744.9,"MIT","WEST",2,"2","SERVICE","OWNED","AER","UGB","33.50","1835900","1835900",42.35810548,-71.09955089,764400.30264799902,2955776.82131,"W59","-","HEINZ BUILDING","12/31/1915","04/30/1968","12/31/1979",28-OCT-24,162
"W61","W61","","","","Frank S MacGregor House",168261.25,93479.22,43579.64,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","167.50","1347000","1347000",42.35546182,-71.09954663,764405.97842399904,2954813.4257999901,"W61","FRANK S. MACGREGOR","MACGREGOR HOUSE","07/01/1968","","09/01/1970",28-OCT-24,143
"W64","W64","","","","Building W64",13367.83,9321.57,2817.74,"MIT","WEST",2,"2","SERVICE","OWNED","OTH","(NULL)","0.00","","",,,,,"W64","David. H. Koch","THE DAVID H KOCH CHILDCARE CENTER","09/02/2013","","10/01/2013",28-OCT-24,62
"W70","W70","","","","New West Campus Houses",126147.84,63945.41,37393.01,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","46.90","1347500","1347500",42.35516109,-71.10053232,764140.069823,2954702.5842900001,"W70","-","NEW HOUSE","06/01/1974","","12/31/1976",28-OCT-24,484
"W71","W71","","","","Next House",132006.46,81759.08,34448.89,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","57.50","1347700","1347700",42.35470475,-71.10192118,763765.44724000001,2954534.5308699901,"W71","-","NEXT HOUSE","10/01/1979","","08/24/1981",28-OCT-24,529
"W79","W79","","","","Simmons Hall",191240.66,96705.18,64519.7,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","100.60","1347600","1347600",42.35710862,-71.1015208,763869.57442700001,2955411.0550799901,"W79","RICHARD P. SIMMONS '53","SIMMONS HALL","12/01/2000","","08/20/2002",28-OCT-24,778
"W83","W83","","","","BUILDING W83",270,0,255.67,"MIT","WEST",2,"2","SERVICE","OWNED","(NULL)","(NULL)","0.00","","",,,,,"W83","","BUILDING W83","03/31/2017","","03/31/2017",28-OCT-24,2
"W84","W84","","","","Tang Residence Hall",152378.32,109703.23,25739.59,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","240.40","1348500","1348500",42.35435175,-71.10347949,763344.84496699902,2954403.9287700001,"W84","PING YUAN TANG","TANG HALL","11/16/1970","","12/31/1973",28-OCT-24,389
"W85","W85","","","","Westgate  Married Student Housing",115603.99,84600.32,23681.36,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","167.30","1348000","1348000",42.35499776,-71.10325778,763403.67751399905,2954639.6248699902,"W85","-","WESTGATE","01/01/1962","","08/01/1963",28-OCT-24,366
"W87","W87","","","","Graduate Junction (W87)",0,0,0,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","0.00","","",,,,,"W87","","GRADUATE JUNCTION (W87)","08/05/2024","","08/05/2024",28-OCT-24,0
"W88","W88","","","","Graduate Junction (W88)",0,0,0,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","0.00","","",,,,,"W88","","GRADUATE JUNCTION (W88)","08/05/2024","","08/05/2024",28-OCT-24,0
"W91","W91","","","","Building W91",35748.48,16886.53,15048.76,"MIT","WEST",1,"1","SERVICE","OWNED","AER","UGB","40.70","1839100","1839100",42.35432356,-71.10442611,763089.02705499902,2954392.4647400002,"W91","-","BUILDING W91","12/31/1947","","12/31/1949",28-OCT-24,114
"W92","W92","","","","Building W92",86521.66,73948.31,8669.21,"MIT","WEST",2,"2","ACADEMIC","OWNED","AER","UGB","32.10","1839200","1839200",42.35492043,-71.1046169,763036.448508,2954609.73853999,"W92","-","BUILDING W92","","","07/01/1999",28-OCT-24,195
"W97","W97","","","","BUILDING W97",30550.79,18125.92,5761.04,"MIT","WEST",2,"2","ACADEMIC","OWNED","(NULL)","(NULL)","0.00","","",,,,,"W97","","BUILDING W97","","02/01/2016","02/01/2016",28-OCT-24,61
"W98","W98","","","","600 Memorial Drive",82624.13,47377.03,25476.21,"MIT","WEST",2,"2","ACADEMIC","OWNED","AER","(NULL)","91.00","1839800","1839800",42.35395541,-71.10664515,762489.85176200001,2954255.5327300001,"W98","-","BUILDING W98","","06/30/2008","06/30/2008",28-OCT-24,541
"E37P","E37P","","","","BUILDING E37P",1747.82,746.11,747.63,"MIT","EAST",2,"2","SERVICE","OWNED","GAR","(NULL)","0.00","","",,,,,"E37P","","BUILDING E37P","08/27/2020","","08/27/2020",28-OCT-24,6
"E53P","E53P","","","","BUILDING E53P",10460.19,10021.75,169.75,"MIT","EAST",2,"2","SERVICE","OWNED","GAR","(NULL)","0.00","","",,,,,"E53P","","BUILDING E53P","01/01/1964","","10/01/1965",28-OCT-24,3
"E62P","E62P","","","","BUILDING E62P",137854.54,124415.25,6414.11,"MIT","EAST",2,"2","SERVICE","OWNED","GAR","(NULL)","0.00","","",,,,,"E62P","","BUILDING E62P","07/28/2010","","07/28/2010",28-OCT-24,35
"N16A","N16A","","","","Building N16A",9766.11,0,8652.37,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","57.70","","",42.3612416,-71.09438153,765792.037381,2956926.28971999,"N16A","-","BUILDING N16A","06/25/2002","","06/25/2002",28-OCT-24,11
"N16B","N16B","","","","Fire Pump House",1249.72,0,1160.58,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","0.00","","",42.36124084,-71.09422683,765833.84857100004,2956926.2135200002,"N16B","-","FIRE PUMP ROOM","11/01/2010","","11/01/2010",28-OCT-24,5
"N16C","N16C","","","","Building N16C",2925.3,155.39,2705.41,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","0.00","","",42.36109866,-71.09449576,765761.41181399894,2956874.05308,"N16C","-","BUILDING N16C","05/05/2011","","05/05/2011",28-OCT-24,3
"NE18","NE18","","","","255 Main Street",33044.91,28129.06,380.64,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","UGB","194.70","1861800","1861800",42.36264726,-71.08517326,768278.217925,2957450.51042999,"NE18","-","255 MAIN STREET","","","04/01/2001",28-OCT-24,233
"NE36","NE36","","","","BUILDING NE36",43141.39,37385.23,234.12,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"NE36","","BUILDING NE36","","","07/18/2018",28-OCT-24,227
"NE45","NE45","","","","300 Technology Square",8049.06,4444.31,137.96,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"NE45","-","300 TECHNOLOGY SQUARE","03/21/2014","","03/21/2014",28-OCT-24,25
"NE47","NE47","","","","500 Technology Square",73631.09,63249.26,2218.01,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","(NULL)","148.00","1854500","1854500",42.36346458,-71.09258101,766274.785684,2957738.7084300001,"NE47","-","500 TECHNOLOGY SQUARE","","","05/21/2002",28-OCT-24,267
"NE48","NE48","","","","700 Technology Square",18156.59,15196.83,797.4,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","(NULL)","84.40","1854800","1854800",42.3640312,-71.09272747,766234.21735199902,2957945.0062199901,"NE48","-","700 TECHNOLOGY SQUARE","","","06/27/2006",28-OCT-24,139
"NE49","NE49","","","","600 Technology Square",93671.28,103886.68,647.75,"MIT","NORTHEAST",2,"2","SERVICE","LEASED","AER","(NULL)","84.90","1854900","1854900",42.36339002,-71.09311895,766129.53298000002,2957710.84277,"NE49","-","600 TECHNOLOGY SQUARE","","","12/29/1997",28-OCT-24,648
"NE83","NE83","","","","Building 300",20795.59,17498.25,873.91,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","UGB","0.00","","",,,,,"NE83","-","BUILDING 300","06/25/2014","","06/25/2014",28-OCT-24,92
"NW10","NW10","","","","Edgerton House",132529.78,82906.95,31176.81,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","56.50","1347800","1347800",42.36032016,-71.09813729,764778.56585200003,2956585.6932899901,"NW10","DR. HAROLD E. EDGERTON","EDGERTON HOUSE","12/31/1922","","12/31/1922",28-OCT-24,261
"NW12","NW12","","","","Nuclear Reactor Laboratory",50294.23,34853.39,9905.49,"MIT","NORTHWEST",0,"0","ACADEMIC","OWNED","AER","UGB","47.30","1841200","1841200",42.36010305,-71.09686312,765123.30905100005,2956508.1999599901,"NW12","-","NUCLEAR REACTOR LAB","12/31/1937","12/31/1955","12/31/1955",28-OCT-24,168
"NW13","NW13","","","","Building NW13",61937.11,46945.06,9916.4,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","28.30","1841300","1841300",42.3598849,-71.09736187,764988.88910499902,2956428.0648400001,"NW13","-","BUILDING NW13","12/21/1917","01/01/1960","12/31/1963",28-OCT-24,143
"NW14","NW14","","","","Francis Bitter Magnet Laboratory (NW14)",144673.42,101485.34,33986.34,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","75.70","1841400","1841400",42.35963208,-71.09789884,764844.19425599906,2956335.2465900001,"NW14","DR. FRANCIS BITTER","FRANCIS BITTER MAGNET LAB (NW14)","12/31/1913","12/22/1958","09/01/1962",28-OCT-24,402
"NW15","NW15","","","","Francis Bitter Magnet Laboratory (NW15)",16137.29,14388.58,695.29,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGF1","34.20","1841500","1841500",42.35934903,-71.0982566,764747.98736300005,2956231.64432,"NW15","DR. FRANCIS BITTER","FRANCIS BITTER MAGNET LAB (NW15)","12/01/1961","","12/31/1962",28-OCT-24,14
"NW16","NW16","","","","Plasma Science And Fusion Center (NW16)",50148.39,31109.74,14770.8,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","34.00","1841600","1841600",42.3600321,-71.09871532,764622.83609600004,2956479.9839900001,"NW16","-","PLASMA SCIENCE & FUSION CENTER (NW16)","06/01/1980","04/01/1966","05/01/1981",28-OCT-24,171
"NW17","NW17","","","","Plasma Science And Fusion Center (NW17)",45542.35,28487.93,12693.63,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","33.80","1841700","1841700",42.35985638,-71.09914244,764507.70102100004,2956415.4034799901,"NW17","-","PLASMA SCIENCE & FUSION CENTER (NW17)","12/31/1923","","12/31/1923",28-OCT-24,151
"NW20","NW20","","","","Albany Street Generator Shelter",5784.7,5291.98,0,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGF1","28.00","1842000","1842000",42.35928316,-71.09846638,764691.40409500001,2956207.3697100002,"NW20","-","ALBANY ST GENERATOR SHELTER","","","06/25/2002",28-OCT-24,10
"NW21","NW21","","","","Plasma Science And Fusion Center (NW21)",124096.66,64826.08,44998.01,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","43.60","1842100","1842100",42.3590636,-71.09914629,764508.01709900005,2956126.4939299901,"NW21","-","PLASMA SCIENCE & FUSION CENTER (NW21)","12/31/1899","04/01/1980","05/01/1980",28-OCT-24,145
"NW22","NW22","","","","Plasma Science And Fusion Center (NW22)",49002.27,39630.57,5649.71,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","33.70","1842200","1842200",42.35963862,-71.09972313,764351.12835400004,2956335.3119899901,"NW22","-","PLASMA SCIENCE & FUSION CENTER (NW22)","","","01/17/1992",28-OCT-24,158
"NW23","NW23","","","","BUILDING NW23",51156.85,39138.86,7114.11,"MIT","NORTHWEST",2,"2","SERVICE","OWNED","(NULL)","(NULL)","0.00","","",,,,,"NW23","","BUILDING NW23","01/01/1925","","02/17/2016",28-OCT-24,312
"NW30","NW30","","","","BUILDING NW30",85812.19,50288.65,23203.26,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","75.00","1348100","1348100",42.35864725,-71.09997287,764285.32651200006,2955973.7215900002,"NW30","-","BUILDING NW30","12/31/1904","10/01/1958","11/01/1958",28-OCT-24,253
"NW32","NW32","","","","BUILDING NW32",30052.65,18918.81,6731.79,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","(NULL)","(NULL)","0.00","","",,,,,"NW32","","BUILDING NW32","01/01/1918","02/01/2016","02/01/2016",28-OCT-24,97
"NW35","NW35","","","","Ashdown House",252747.43,158677.44,57553.02,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","60.00","1345770","1345770",42.35879785,-71.10143928,763888.73286300001,2956026.7473800001,"NW35","-","ASHDOWN HOUSE","01/01/2008","","07/01/2008",28-OCT-24,581
"NW36","NW36","","","","BUILDING NW36",2045.25,1604.82,164.87,"MIT","NORTHWEST",2,"2","SERVICE","OWNED","OTH","(NULL)","0.00","","",,,,,"NW36","","BUILDING NW36","03/09/2018","","03/09/2018",28-OCT-24,4
"NW38","NW38","","","","BUILDING NW38",2835,2463.75,65.31,"MIT","NORTHWEST",2,"2","SERVICE","OWNED","OTH","(NULL)","0.00","","",,,,,"NW38","","BUILDING NW38","06/18/2012","","06/18/2012",28-OCT-24,15
"NW61","NW61","","","","Random Hall",39469.53,25163.08,7854.53,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","48.30","1347400","1347400",42.36184456,-71.0982858,764735.81395800004,2957141.0276600001,"NW61","-","RANDOM HALL","12/30/1899","","12/31/1968",28-OCT-24,204
"NW86","NW86","","","","70 Pacific Street Dormitory",362686.82,251866.41,63324.51,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","106.40","1348300","1348300",42.35972041,-71.10221874,763676.49545199901,2956361.9617599901,"NW86","-","70 PACIFIC STREET DORMITORY","02/01/2001","","08/01/2002",28-OCT-24,720
"NW98","NW98","","","","BUILDING NW98",15190.63,10525.29,3316.32,"MIT","NORTHWEST",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"NW98","","BUILDING NW98","","","08/01/2016",28-OCT-24,55
"OC11","OC11","","","","1 Summer Street",8789.53,6630.71,0,"BOS","OFFCAMPUS",1,"1","SERVICE","LEASED","AER","(NULL)","","1897100","1897100",,,,,"OC11","-","1 SUMMER STREET BOSTON MA","","","01/01/2008",28-OCT-24,2
"OC15","OC15","","","","22 BLAKE STREET",24877.07,23795.23,63.31,"MED","OFFCAMPUS",1,"1","SERVICE","LEASED","AER","(NULL)","0.00","","",,,,,"OC15","","22 BLAKE ST","","","11/16/2023",28-OCT-24,22
"OC1A","OC1A","","","","Edward Pennell Brooks Center",15136.28,9683.6,3351.5,"END","OFFCAMPUS",1,"1","ACADEMIC","OWNED","OTH","UGR1A3","","","",42.25434333,-71.19438867,738903.09680199903,2917857.9505699901,"OC01A","EDWARD PENNELL BROOKS","EDWARD PENNELL BROOKS CENTER","12/31/1982","","12/31/1983",28-OCT-24,115
"OC21","OC21","","","","Wallace Astrophysical Observatory",1779.95,1605.36,0,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGBR3","","","",42.61043459,-71.4839651,660483.31698200002,3047480.8814400001,"OC21","GEORGE R. WALLACE JR.","WALLACE ASTROPHYSICAL OBSERVATORY","","","10/14/1971",28-OCT-24,11
"OC22","OC22","","","","Westford Optics Facility (Haystack)",881.78,794.16,0.03,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGB","0.00","1878000","1878000",42.61185877,-71.48467394,660292.40228000004,3047999.8853500001,"OC22","-","WESTFORD OPTICS FACILITY (HAYSTACK)","","","",28-OCT-24,3
"OC23","OC23","","","","Wallace Geophysical Observatory",2034.38,1617.25,0,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGB","0.00","1878100","1878100",42.61006145,-71.48988791,658888.89275999903,3047344.6454799902,"OC23","GEORGE R. WALLACE JR.","WALLACE GEOPHYSICAL OBSERVATORY","","","05/20/1970",28-OCT-24,6
